COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,OBSERVING NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS
Australia,2021-11-27T12:55:00,-18.5,112,2022-03-05T09:23:32,APEX,Argo,Argo AUSTRALIA,5906661,9297,OPERATIONAL
United States,2022-01-08T07:29:00,12.32,-100.23,,APEX,Argo,Argo UW,5906483,9400,REGISTERED
United States,2022-01-16T07:57:00,16.6656,-30.4884,2022-03-08T00:20:15,NAVIS_EBR,Argo,"Argo GO-BGC, WHOI",1902382,1348,OPERATIONAL
United States,2022-02-04T23:00:00,36.753,-122.512,2022-03-09T05:16:28,SOLO_II,Argo,Argo SIO .eq. (BGCSOLONOPP),4903026,1,OPERATIONAL
United States,2022-02-20T14:56:00,-34.6,-28.08,2022-03-03T16:22:19,APEX,Argo,Argo UW,5906487,9173,OPERATIONAL
United States,2015-01-27T00:00:00,-49.0116,12.9583,2017-07-23T01:14:53,APEX,Argo,Argo UW-SOCCOM,5904473,6941,CLOSED
United States,2016-01-09T15:38:00,-56.48,-57.21,2020-07-13T16:30:27,APEX,Argo,Argo UW-SOCCOM,5904657,7288,INACTIVE
United States,2016-01-17T08:56:00,-48.28,79.77,2020-08-15T18:18:17,APEX,Argo,Argo UW-SOCCOM,5904676,7335,INACTIVE
United States,2016-03-03T03:21:00,-47.09,93.08,2020-12-04T03:32:46,APEX,Argo,Argo UW-SOCCOM,5904683,7309,INACTIVE
United States,2016-03-31T21:01:00,-50.48,147.17,2020-09-19T22:14:20,APEX,Argo,Argo UW-SOCCOM,5904677,7339,INACTIVE
United States,2016-05-06T07:51:00,-64.04,-170.17,2018-09-06T14:54:43,NAVIS_A,Argo,Argo UW-SOCCOM,5904672,565,INACTIVE
United States,2016-05-19T21:20:00,-48,-169.97,2020-02-21T01:20:21,APEX,Argo,Argo UW-SOCCOM,5904693,7337,INACTIVE
United States,2016-12-28T09:24:00,-59.21,-68.51,2021-01-27T20:28:33,APEX,Argo,Argo UW-SOCCOM,5904982,7772,INACTIVE
United States,2016-12-27T15:03:00,-57.35,-68,2020-12-07T19:38:08,APEX,Argo,Argo UW-SOCCOM,5904854,7757,INACTIVE
United States,2017-01-15T11:27:00,-50.99,-103.09,2021-04-16T16:40:48,APEX,Argo,Argo UW-SOCCOM,5904842,7754,INACTIVE
United States,2017-02-19T01:42:00,-62.48,-126.15,2021-06-29T15:46:10,APEX,Argo,Argo UW-SOCCOM,5905080,7703,INACTIVE
United States,2017-09-01T01:03:00,-32.5833,-134.8733,2022-03-06T13:59:09,APEX,Argo,Argo UW-SOCCOM,5905104,7710,OPERATIONAL
United States,2017-09-09T10:55:00,-34.435,11.795,2022-01-14T02:01:57,APEX,Argo,Argo UW-SOCCOM,5905130,8047,INACTIVE
United States,2017-09-20T09:04:00,-47.4967,-13.0817,2022-02-17T15:23:34,APEX,Argo,Argo UW-SOCCOM,5905135,8053,OPERATIONAL
United States,2017-10-06T00:18:00,-36.545,-9.9283,2020-11-11T23:02:02,APEX,Argo,Argo UW-SOCCOM,5905132,8050,INACTIVE
United States,2017-10-08T17:54:00,-34.6333,4.1917,2022-03-02T23:27:50,APEX,Argo,Argo UW-SOCCOM,5905131,8048,OPERATIONAL
United States,2018-04-07T18:26:00,-69.0117,-150.0383,2022-03-01T07:46:51,APEX,Argo,Argo UW-SOCCOM,5905637,7975,OPERATIONAL
United States,2018-10-20T15:24:00,-32.3767,-33.6583,2022-02-28T18:00:36,APEX,Argo,Argo UW-SOCCOM,5905982,7937,OPERATIONAL
United States,2019-01-07T12:12:00,-66.0033,-12.3217,2022-03-06T21:29:37,APEX,Argo,Argo UW-SOCCOM,5905995,8363,OPERATIONAL
China,2019-03-24T10:42:00,20.41,137.88,2020-12-02T04:07:53,PROVOR_IV,Argo,Argo CHINA,2902756,P43208-17CH002,INACTIVE
United States,2019-03-03T02:56:00,-60.1217,-48.17,2021-09-11T10:28:03,APEX,Argo,Argo UW-SOCCOM,5906003,8299,INACTIVE
United States,2019-04-30T18:54:00,-51.355,30.2083,2022-03-03T10:14:28,APEX,Argo,Argo UW-SOCCOM,5906030,8362,OPERATIONAL
United States,2019-10-21T06:15:00,-4.0233,-125.08,2022-02-13T08:55:04,APEX,Argo,Argo UW-SOCCOM,5906046,8683,OPERATIONAL
United States,2019-10-27T16:28:00,5.1083,-124.9533,2022-03-09T07:38:45,APEX,Argo,Argo UW-TPOS eq.,5906044,8333,OPERATIONAL
United States,2020-01-29T16:22:00,-61.94,-73.96,2022-03-05T02:39:43,APEX,Argo,Argo UW-SOCCOM,5906224,8728,OPERATIONAL
United States,2020-01-30T20:39:00,-64.96,-80.61,2022-03-07T14:08:07,APEX,Argo,Argo UW-SOCCOM,5906226,8732,OPERATIONAL
United States,2020-03-15T12:07:00,8.9783,-140.3183,2022-03-01T12:14:59,APEX,Argo,Argo UW-TPOS eq.,5906237,8701,OPERATIONAL
United States,2020-03-19T02:04:00,-70.4333,-103.0933,2020-03-19T22:12:23,APEX,Argo,Argo UW-SOCCOM,5906225,8729,INACTIVE
United States,2020-03-24T17:28:00,-40.96,3.02,2022-03-06T19:09:19,APEX,Argo,Argo UW-SOCCOM,5906249,8822,OPERATIONAL
United States,2020-08-12T07:16:00,45.49,-127.4,2022-03-08T19:08:55,APEX,Argo,Argo UW-SOCCOM,5906293,8918,OPERATIONAL
United States,2020-10-29T01:06:00,-38.99,-84.06,2022-03-02T07:37:45,APEX,Argo,Argo UW-SOCCOM,5906306,1114,OPERATIONAL
United States,2021-01-08T02:55:00,-29.9833,-150.025,2022-03-05T06:13:13,APEX,Argo,Argo UW-SOCCOM,5906318,9066,OPERATIONAL
Germany,2021-03-25T09:34:20,57.2979,20.1944,2022-02-25T10:25:40,APEX,Argo,Argo GERMANY 2025,7900580,8993,OPERATIONAL
Norway,2021-04-18T21:07:00,74.5,-5,2022-03-10T11:23:00,PROVOR_III,Argo,Argo NORWAY,6903575,P43208-20NO003,OPERATIONAL
United States,2021-04-04T14:36:00,20.07,-52.36,2022-03-03T05:45:20,APEX,Argo,"Argo GO-BGC, UW ",5906339,9067,OPERATIONAL
United States,2021-05-03T14:38:00,23.86,-65.75,2021-12-11T22:54:05,APEX,Argo,"Argo GO-BGC, UW ",5906436,9076,INACTIVE
Australia,2021-06-16T19:50:00,-12.5,145.12,2022-03-10T01:34:00,PROVOR_III,Argo,Argo AUSTRALIA,5906645,P43208-20AU003,OPERATIONAL
United States,2021-07-07T19:50:00,39.9133,-125.1633,2022-02-27T07:10:39,APEX,Argo,Argo eq. PMEL,5906297,8922,OPERATIONAL
United States,2021-11-21T17:29:00,27.07,-126.72,2022-03-05T05:57:30,APEX,Argo,Argo UW,5906468,9375,OPERATIONAL
